state,body_cam_required,funding_available
Alabama,0,0
Alaska,0,0
Arizona,0,0
Arkansas,0,0
California,1,1
Colorado,0,1
Connecticut,1,1
Delaware,0,0
Florida,1,1
Georgia,0,0
Hawaii,0,0
Idaho,0,0
Illinois,0,1
Indiana,0,0
Iowa,0,0
Kansas,0,0
Kentucky,0,1
Louisiana,0,0
Maine,0,0
Maryland,0,0
Massachusetts,0,1
Michigan,0,0
Minnesota,0,0
Mississippi,0,0
Missouri,0,0
Montana,0,0
Nebraska,0,0
Nevada,1,1
New Hampshire,0,0
New Jersey,0,1
New Mexico,0,0
New York,0,0
North Carolina,0,1
North Dakota,0,0
Ohio,0,0
Oklahoma,0,0
Oregon,0,0
Pennsylvania,0,1
Rhode Island,0,0
South Carolina,1,1
South Dakota,0,0
Tennessee,0,0
Texas,0,1
Utah,0,0
Vermont,0,0
Virginia,0,0
Washington,0,0
West Virginia,0,0
Wisconsin,0,0
Wyoming,0,0
District of Columbia,0,1
